Series;Time;Value
Alliance (Failed - False);2019-05-25T16:09:04.000Z;78
Alliance (Failed - False);2019-05-25T16:09:06.000Z;78
Alliance (Failed - False);2019-05-25T16:09:08.000Z;78
Alliance (Failed - False);2019-05-25T16:09:10.000Z;78
Alliance (Failed - False);2019-05-25T16:09:12.000Z;78
Alliance (Failed - False);2019-05-25T16:09:14.000Z;78
Alliance (Failed - False);2019-05-25T16:09:16.000Z;78
Alliance (Failed - False);2019-05-25T16:09:18.000Z;78
Alliance (Failed - False);2019-05-25T16:09:20.000Z;78
Alliance (Failed - False);2019-05-25T16:09:22.000Z;78
Alliance (Failed - False);2019-05-25T16:09:24.000Z;78
Alliance (Failed - False);2019-05-25T16:09:26.000Z;78
Alliance (Failed - False);2019-05-25T16:09:28.000Z;78
Alliance (Failed - False);2019-05-25T16:09:30.000Z;78
Alliance (Failed - False);2019-05-25T16:09:32.000Z;78
Alliance (Failed - False);2019-05-25T16:09:34.000Z;78
Alliance (Failed - False);2019-05-25T16:09:36.000Z;78
Alliance (Failed - False);2019-05-25T16:09:38.000Z;79
Alliance (Failed - False);2019-05-25T16:09:40.000Z;79
Alliance (Failed - False);2019-05-25T16:09:42.000Z;79
Alliance (Failed - False);2019-05-25T16:09:44.000Z;79
Alliance (Failed - False);2019-05-25T16:09:46.000Z;79
Alliance (Failed - False);2019-05-25T16:09:48.000Z;80
Alliance (Failed - False);2019-05-25T16:09:50.000Z;80
Alliance (Failed - False);2019-05-25T16:09:52.000Z;81
Alliance (Failed - False);2019-05-25T16:09:54.000Z;82
Alliance (Failed - False);2019-05-25T16:09:56.000Z;82
Alliance (Failed - False);2019-05-25T16:09:58.000Z;83
Alliance (Failed - False);2019-05-25T16:10:00.000Z;84
Alliance (Failed - False);2019-05-25T16:10:02.000Z;84
Alliance (Failed - False);2019-05-25T16:10:04.000Z;84
Alliance (Failed - False);2019-05-25T16:10:06.000Z;84
Alliance (Failed - False);2019-05-25T16:10:08.000Z;84
Alliance (Failed - False);2019-05-25T16:10:10.000Z;84
Alliance (Failed - False);2019-05-25T16:10:12.000Z;84
Alliance (Failed - False);2019-05-25T16:10:14.000Z;84
Alliance (Failed - False);2019-05-25T16:10:16.000Z;84
Alliance (Failed - False);2019-05-25T16:10:18.000Z;84
Alliance (Failed - False);2019-05-25T16:10:20.000Z;84
Alliance (Failed - False);2019-05-25T16:10:22.000Z;84
Alliance (Failed - False);2019-05-25T16:10:24.000Z;84
Alliance (Failed - False);2019-05-25T16:10:26.000Z;84
Alliance (Failed - False);2019-05-25T16:10:28.000Z;84
Alliance (Failed - False);2019-05-25T16:10:30.000Z;84
Alliance (Failed - False);2019-05-25T16:10:32.000Z;84
Alliance (Failed - False);2019-05-25T16:10:34.000Z;85
Alliance (Failed - False);2019-05-25T16:10:36.000Z;87
Alliance (Failed - False);2019-05-25T16:10:38.000Z;87
Alliance (Failed - False);2019-05-25T16:10:40.000Z;88
Alliance (Failed - False);2019-05-25T16:10:42.000Z;89
Alliance (Failed - False);2019-05-25T16:10:44.000Z;92
Alliance (Failed - False);2019-05-25T16:10:46.000Z;93
Alliance (Failed - False);2019-05-25T16:10:48.000Z;96
Alliance (Failed - False);2019-05-25T16:10:50.000Z;99
Alliance (Failed - False);2019-05-25T16:10:52.000Z;101
Alliance (Failed - False);2019-05-25T16:10:54.000Z;103
Alliance (Failed - False);2019-05-25T16:10:56.000Z;103
Alliance (Failed - False);2019-05-25T16:10:58.000Z;105
Alliance (Failed - False);2019-05-25T16:11:00.000Z;105
Alliance (Failed - False);2019-05-25T16:11:02.000Z;105
Alliance (Failed - False);2019-05-25T16:11:04.000Z;105
Alliance (Failed - False);2019-05-25T16:11:06.000Z;106
Alliance (Failed - False);2019-05-25T16:11:08.000Z;106
Alliance (Failed - False);2019-05-25T16:11:10.000Z;106
Alliance (Failed - False);2019-05-25T16:11:12.000Z;106
Alliance (Failed - False);2019-05-25T16:11:14.000Z;107
Alliance (Failed - False);2019-05-25T16:11:16.000Z;108
Alliance (Failed - False);2019-05-25T16:11:18.000Z;108
Alliance (Failed - False);2019-05-25T16:11:20.000Z;109
Alliance (Failed - False);2019-05-25T16:11:22.000Z;110
Alliance (Failed - False);2019-05-25T16:11:24.000Z;111
Alliance (Failed - False);2019-05-25T16:11:26.000Z;111
Alliance (Failed - False);2019-05-25T16:11:28.000Z;111
Alliance (Failed - False);2019-05-25T16:11:30.000Z;111
Alliance (Failed - False);2019-05-25T16:11:32.000Z;111
Alliance (Failed - False);2019-05-25T16:11:34.000Z;111
Alliance (Failed - False);2019-05-25T16:11:36.000Z;111
Alliance (Failed - False);2019-05-25T16:11:38.000Z;112
Alliance (Failed - False);2019-05-25T16:11:40.000Z;113
Alliance (Failed - False);2019-05-25T16:11:42.000Z;113
Alliance (Failed - False);2019-05-25T16:11:44.000Z;114
Alliance (Failed - False);2019-05-25T16:11:46.000Z;115
Alliance (Failed - False);2019-05-25T16:11:48.000Z;117
Alliance (Failed - False);2019-05-25T16:11:50.000Z;120
Alliance (Failed - False);2019-05-25T16:11:52.000Z;125
Alliance (Failed - False);2019-05-25T16:11:54.000Z;125
Alliance (Failed - False);2019-05-25T16:11:56.000Z;131
Alliance (Failed - False);2019-05-25T16:11:58.000Z;137
Alliance (Failed - False);2019-05-25T16:12:00.000Z;143
Alliance (Failed - False);2019-05-25T16:12:02.000Z;144
Alliance (Failed - False);2019-05-25T16:12:04.000Z;145
Alliance (Failed - False);2019-05-25T16:12:06.000Z;146
Alliance (Failed - False);2019-05-25T16:12:08.000Z;146
Alliance (Failed - False);2019-05-25T16:12:10.000Z;146
Alliance (Failed - False);2019-05-25T16:12:12.000Z;146
Alliance (Failed - False);2019-05-25T16:12:14.000Z;146
Alliance (Failed - False);2019-05-25T16:12:16.000Z;146
Alliance (Failed - False);2019-05-25T16:12:18.000Z;146
Alliance (Failed - False);2019-05-25T16:12:20.000Z;147
Alliance (Failed - False);2019-05-25T16:12:22.000Z;147
Alliance (Failed - False);2019-05-25T16:12:24.000Z;147
Alliance (Failed - False);2019-05-25T16:12:26.000Z;147
Alliance (Failed - False);2019-05-25T16:12:28.000Z;149
Alliance (Failed - False);2019-05-25T16:12:30.000Z;151
Alliance (Failed - False);2019-05-25T16:12:32.000Z;151
Alliance (Failed - False);2019-05-25T16:12:34.000Z;153
Alliance (Failed - False);2019-05-25T16:12:36.000Z;155
Alliance (Failed - False);2019-05-25T16:12:38.000Z;162
Alliance (Failed - False);2019-05-25T16:12:40.000Z;169
Alliance (Failed - False);2019-05-25T16:12:42.000Z;175
Alliance (Failed - False);2019-05-25T16:12:44.000Z;175
Alliance (Failed - False);2019-05-25T16:12:46.000Z;175
Alliance (Failed - False);2019-05-25T16:12:48.000Z;176
Alliance (Failed - False);2019-05-25T16:12:50.000Z;176
Alliance (Failed - False);2019-05-25T16:12:52.000Z;177
Alliance (Failed - False);2019-05-25T16:12:54.000Z;177
Alliance (Failed - False);2019-05-25T16:12:56.000Z;177
Alliance (Failed - False);2019-05-25T16:12:58.000Z;177
Alliance (Failed - False);2019-05-25T16:13:00.000Z;177
Alliance (Failed - False);2019-05-25T16:13:02.000Z;177
Alliance (Failed - False);2019-05-25T16:13:04.000Z;177
Alliance (Failed - False);2019-05-25T16:13:06.000Z;177
Alliance (Failed - False);2019-05-25T16:13:08.000Z;177
Alliance (Failed - False);2019-05-25T16:13:10.000Z;177
Alliance (Failed - False);2019-05-25T16:13:12.000Z;177
Alliance (Failed - False);2019-05-25T16:13:14.000Z;182
Alliance (Failed - False);2019-05-25T16:13:16.000Z;182
Alliance (Failed - False);2019-05-25T16:13:18.000Z;182
Alliance (Failed - False);2019-05-25T16:13:20.000Z;182
Alliance (Failed - False);2019-05-25T16:13:22.000Z;182
Alliance (Failed - False);2019-05-25T16:13:24.000Z;182
Alliance (Failed - False);2019-05-25T16:13:26.000Z;182
Alliance (Failed - False);2019-05-25T16:13:28.000Z;184
Alliance (Failed - False);2019-05-25T16:13:30.000Z;186
Alliance (Failed - False);2019-05-25T16:13:32.000Z;187
Alliance (Failed - False);2019-05-25T16:13:34.000Z;188
Alliance (Failed - False);2019-05-25T16:13:36.000Z;189
Alliance (Failed - False);2019-05-25T16:13:38.000Z;190
Alliance (Failed - False);2019-05-25T16:13:40.000Z;191
Alliance (Failed - False);2019-05-25T16:13:42.000Z;191
Alliance (Failed - False);2019-05-25T16:13:44.000Z;192
Alliance (Failed - False);2019-05-25T16:13:46.000Z;193
Alliance (Failed - False);2019-05-25T16:13:48.000Z;193
Alliance (Failed - False);2019-05-25T16:13:50.000Z;193
Alliance (Failed - False);2019-05-25T16:13:52.000Z;193
Alliance (Failed - False);2019-05-25T16:13:54.000Z;193
Alliance (Failed - False);2019-05-25T16:13:56.000Z;193
Alliance (Failed - False);2019-05-25T16:13:58.000Z;193
Alliance (Failed - False);2019-05-25T16:14:00.000Z;193
Alliance (Failed - False);2019-05-25T16:14:02.000Z;194
Alliance (Failed - False);2019-05-25T16:14:04.000Z;194
Alliance (Failed - False);2019-05-25T16:14:06.000Z;194
Alliance (Failed - False);2019-05-25T16:14:08.000Z;194
Alliance (Failed - False);2019-05-25T16:14:10.000Z;194
Alliance (Failed - False);2019-05-25T16:14:12.000Z;194
Alliance (Failed - False);2019-05-25T16:14:14.000Z;194
